kol1,kol2,kol3,kol4,kol5,kol6
0,-1.5794737211703316,-1.0320795578957946,-1.0319150023078572,-1.0251588734530994,0
1,-1.5506222647352208,-0.89048134442532434,-0.89201096341319919,-0.88494442288119557,0
2,-1.5676088892900555,-0.8137666512987175,-0.81728589694074738,-0.80873835611730505,0
3,-1.5864467642091886,-0.93153609366590084,-0.93716090285358722,-0.92568128064507438,0
4,-1.5779815011797151,-1.0363991420791576,-1.0395069987513434,-1.0326760719020687,0
5,-1.5447132231683693,-0.87411554322498153,-0.87998718579457436,-0.87029149575529452,0
6,-1.5451769707343754,-0.80572586688812864,-0.81019878696025149,-0.79581700256447496,0
7,-1.5685700435196004,-0.93151365426754573,-0.92629649414997761,-0.92656389698037622,0
8,-1.57659212843156,-1.0254262762834983,-1.0287286077414284,-1.0236703933622091,0
9,-1.5439708530727871,-0.89648388348532204,-0.8988288006134334,-0.89556199820289872,0
10,-1.5486158085322994,-0.80007861830208715,-0.80020577489276623,-0.79463145435137883,0
11,-1.5573073354951872,-0.91315822641304789,-0.92003964190862164,-0.91418108898806938,0
12,-1.5643009479825365,-1.0219818286359854,-1.0239377961926077,-1.0132248534278951,0
13,-1.5461381249639203,-0.87800503893987103,-0.87934018314200135,-0.87672412328376559,1
14,-1.553356131434821,-0.81676605087885346,-0.82055830920087069,-0.80954243455836394,1
15,-1.5726914130174929,-0.94056421160411552,-0.93748253423001082,-0.92785416238579632,1
16,-1.576072282369666,-1.0147376428670036,-1.0181072925199994,-1.0094812138023141,1
17,-1.5465364242847239,-0.88189827455448644,-0.88695835888356866,-0.87869131053956551,1
18,-1.5494086672741807,-0.79830216593230585,-0.81065505472680588,-0.79671831839840612,1
19,-1.5604002325684694,-0.92736236557184637,-0.9329161166647415,-0.92644422018914885,1
20,-1.5746529904237041,-1.0295289462827615,-1.0317579265193713,-1.026363121164825,1
21,-1.5481801102142372,-0.88642355322277133,-0.88061922884824395,-0.87533288058574743,1
22,-1.5414165015600279,-0.79924836056294724,-0.80069944165657914,-0.79166945376850151,1
23,-1.5749708819004018,-0.92339433196271392,-0.92406377401364204,-0.91655592531398744,1
24,-1.5723735215407952,-1.0271092311601331,-1.0269484154719213,-1.018453233244641,1
25,-1.5492927303826791,-0.87703640491087453,-0.88287812828266055,-0.87394537778745507,1
26,-1.5403001414918602,-0.80919649383372227,-0.81377787099789511,-0.80521911047527517,1
27,-1.5623169311779703,-0.92964370440461808,-0.9348608645221862,-0.92931646317860572,1
28,-1.5806237403360319,-1.0180661536230149,-1.0294803275863253,-1.0183335564534135,1
29,-1.5510654428527346,-0.88876473045115678,-0.89389961277475605,-0.88700136773041593,1
30,-1.5513010565354635,-0.81030350415257546,-0.81050171883804578,-0.81054846758461896,1
31,-1.5732243487284272,-0.92302408188985419,-0.92676772151543541,-0.91863904946128883,1
32,-1.5715918824980915,-1.0020481630971767,-1.0125834606249111,-1.0034113565472509,1
33,-1.5470637501460693,-0.86340821030985782,-0.86461619792130906,-0.85584800301404129,1
34,-1.5521051349765225,-0.81807127588317696,-0.82289200662980444,-0.81193223048318552,1
35,-1.5815979842146173,-0.92414231190788498,-0.93507029890683413,-0.92495574009825843,1
36,-1.5704661726806091,-1.0074597980004893,-1.0118691397772728,-1.0076112639393864,1
37,-1.5482268589608104,-0.88759414183696406,-0.88171875936764532,-0.87630151461474393,1
38,-1.5526922992334817,-0.79484275868588972,-0.79560943812968998,-0.78869623348644646,1
39,-1.5729288966500847,-0.93481972562520188,-0.93972647406552401,-0.93196805208423716,1
40,-1.5645608710134835,-1.0043033226318674,-1.0054252925496241,-1.0050943114238857,1
41,-1.5574606713839472,-0.87863708199354063,-0.88262381510130239,-0.87617435802406485,1
42,-1.5430863667876222,-0.79220612937916168,-0.7977337011739758,-0.79052130455266389,1
43,-1.5623057114787928,-0.91303480972209472,-0.91680088874603094,-0.91003728009182172,1
44,-1.5858147211555191,-1.0299478150520571,-1.0305536788076457,-1.0232590043923651,1
45,-1.5464504065910292,-0.87207355797466457,-0.87005027222297682,-0.86274063820879265,1
46,-1.5458015339885933,-0.80018707539413692,-0.80111457052614898,-0.79325143135253828,1
47,-1.5607012944964007,-0.92165153869046534,-0.9183604269317126,-0.90936783804089361,1
48,-1.5699089276214566,-1.0034020067979363,-1.0087986821023456,-1.0030934650705532,1
49,-1.5516937460066784,-0.87962067562144053,-0.88386172191056045,-0.87422961016662015,1
50,-1.5465046351370542,-0.80590164217524385,-0.80335851036166217,-0.79954194269142687,1
51,-1.5739966380218164,-0.93047396214375799,-0.93253464689270427,-0.92519509368071318,1
52,-1.5787350909744751,-1.0153846455195767,-1.0156576581995642,-1.0189880389054382,1
53,-1.545317216974095,-0.86998295402791148,-0.86763055710034842,-0.86559418169962021,1
54,-1.5416427654934421,-0.81122725938486173,-0.81382274979460534,-0.80340525910823535,1
55,-1.557544819127779,-0.92303156168930589,-0.93038420455033743,-0.92361685599640231,1
56,-1.5655444646413834,-1.0021566201892265,-1.0019883247015631,-0.99540423123419475,1
57,-1.551289836836286,-0.87818081422698624,-0.87601915218544191,-0.87046727104240973,1
58,-1.5511944693932767,-0.79723255461071119,-0.79565805682612611,-0.79238751451586564,1
59,-1.5822992154132152,-0.93515257670080298,-0.93821929447600427,-0.93110787514729043,1
60,-1.5864318046102852,-1.0133912789656958,-1.0224941948984276,-1.0162579121055639,1
61,-1.5569894440184895,-0.87507295755480052,-0.87822943292342237,-0.86830934890059119,1
62,-1.5629284047831475,-0.82225248377668314,-0.81903990991217346,-0.81567587010876663,1
63,-1.5869610004214938,-0.93645032190567479,-0.93333872533376316,-0.92511655578647023,1
64,-1.5957834238747863,-1.0245436599481963,-1.037188260921313,-1.028221851328575,1
65,-1.5443317533963321,-0.86996799442900796,-0.87435115690771037,-0.86387008792600095,1
66,-1.5276312311705253,-0.77955404860659328,-0.7823440138020813,-0.77286149804717519,1
67,-1.564910551637851,-0.9188204345979929,-0.92263513231836525,-0.91516468261596928,1
68,-1.5751803162850495,-0.99596708614293594,-1.0004661855131398,-0.99488438517230082,1
69,-1.5491637038421373,-0.88628891683264055,-0.88532776260309576,-0.87911765910831297,1
70,-1.5619504210048365,-0.80790622842830229,-0.81212109541934119,-0.80049935702124586,1
71,-1.5638652496644745,-0.92111673302966801,-0.92471077666621493,-0.92298107304300692,1
72,-1.5743294890974175,-1.009640159540663,-1.0102647227948809,-1.0016049849796629,1
73,-1.5371268365744719,-0.86130264676420132,-0.85698680248056425,-0.85514490186558056,1
74,-1.542964820046532,-0.80676181911219047,-0.81143295386978376,-0.80289663274551903,1
75,-1.572711982465985,-0.92847685569015126,-0.92649470883544793,-0.91989191586945041,1
76,-1.5651704746687978,-0.99101919880562939,-0.99743312683547125,-0.99093879096152349,1
77,-1.5512636575382051,-0.87555540461943582,-0.87526743234054494,-0.86862350047756298,1
78,-1.5512636575382051,-0.78955080057380445,-0.79208271268820851,-0.78844192030508831,1
79,-1.5661260190487538,-0.92057444756941897,-0.9235289683528447,-0.91553867258855481,1
80,-1.5837895654539684,-1.0151490318368479,-1.0140981200138826,-1.0075589053432246,1
81,-1.5508952774152083,-0.87637818255912403,-0.87874553908559039,-0.87077020292020402,1
